Name, According_To, Rank
Allenopithecus,Groves (1993),Genus
Allenopithecus,Groves (2005),Genus
Allenopithecus nigroviridis,Groves (1993),Species
Allenopithecus nigroviridis,Groves (2005),Species
Allocebus,Groves (1993),Genus
Allocebus,Groves (2005),Genus
Allocebus trichotis,Groves (1993),Species
Allocebus trichotis,Groves (2005),Species
Alouatta,Groves (1993),Genus
Alouatta,Groves (2005),Genus
Alouatta belzebul,Groves (1993),Species
Alouatta belzebul,Groves (2005),Species
Alouatta caraya,Groves (1993),Species
Alouatta caraya,Groves (2005),Species
Alouatta coibensis,Groves (1993),Species
Alouatta coibensis,Groves (2005),Species
Alouatta fusca,Groves (1993),Species
Alouatta guariba,Groves (2005),Species
Alouatta macconnelli,Groves (2005),Species
Alouatta nigerrima,Groves (2005),Species
Alouatta palliata,Groves (1993),Species
Alouatta palliata,Groves (2005),Species
Alouatta pigra,Groves (1993),Species
Alouatta pigra,Groves (2005),Species
Alouatta sara,Groves (1993),Species
Alouatta sara,Groves (2005),Species
Alouatta seniculus,Groves (1993),Species
Alouatta seniculus,Groves (2005),Species
Alouattinae,Groves (1993),Subfamily
Alouattinae,Groves (2005),Subfamily
Aotidae,Groves (2005),Family
Aotinae,Groves (1993),Subfamily
Aotus,Groves (1993),Genus
Aotus,Groves (2005),Genus
Aotus azarae,Groves (2005),Species
Aotus azarai,Groves (1993),Species
Aotus brumbacki,Groves (1993),Species
Aotus hershkovitzi,Groves (1993),Species
Aotus hershkovitzi,Groves (2005),Species
Aotus infulatus,Groves (1993),Species
Aotus lemurinus,Groves (1993),Species
Aotus lemurinus,Groves (2005),Species
Aotus miconax,Groves (1993),Species
Aotus miconax,Groves (2005),Species
Aotus nancymaae,Groves (1993),Species
Aotus nancymaae,Groves (2005),Species
Aotus nigriceps,Groves (1993),Species
Aotus nigriceps,Groves (2005),Species
Aotus trivirgatus,Groves (1993),Species
Aotus trivirgatus,Groves (2005),Species
Aotus vociferans,Groves (1993),Species
Aotus vociferans,Groves (2005),Species
Arctocebus,Groves (1993),Genus
Arctocebus,Groves (2005),Genus
Arctocebus aureus,Groves (1993),Species
Arctocebus aureus,Groves (2005),Species
Arctocebus calabarensis,Groves (1993),Species
Arctocebus calabarensis,Groves (2005),Species
Ateles,Groves (1993),Genus
Ateles,Groves (2005),Genus
Ateles belzebuth,Groves (1993),Species
Ateles belzebuth,Groves (2005),Species
Ateles chamek,Groves (1993),Species
Ateles chamek,Groves (2005),Species
Ateles fusciceps,Groves (1993),Species
Ateles fusciceps,Groves (2005),Species
Ateles geoffroyi,Groves (1993),Species
Ateles geoffroyi,Groves (2005),Species
Ateles hybridus,Groves (2005),Species
Ateles marginatus,Groves (1993),Species
Ateles marginatus,Groves (2005),Species
Ateles paniscus,Groves (1993),Species
Ateles paniscus,Groves (2005),Species
Atelidae,Groves (2005),Family
Atelinae,Groves (1993),Subfamily
Atelinae,Groves (2005),Subfamily
Avahi,Groves (1993),Genus
Avahi,Groves (2005),Genus
Avahi laniger,Groves (1993),Species
Avahi laniger,Groves (2005),Species
Avahi occidentalis,Groves (2005),Species
Avahi unicolor,Groves (2005),Species
Brachyteles,Groves (1993),Genus
Brachyteles,Groves (2005),Genus
Brachyteles arachnoides,Groves (1993),Species
Brachyteles arachnoides,Groves (2005),Species
Brachyteles hypoxanthus,Groves (2005),Species
Bunopithecus,Groves (2005),Genus
Bunopithecus hoolock,Groves (2005),Species
Cacajao,Groves (1993),Genus
Cacajao,Groves (2005),Genus
Cacajao calvus,Groves (1993),Species
Cacajao calvus,Groves (2005),Species
Cacajao melanocephalus,Groves (1993),Species
Cacajao melanocephalus,Groves (2005),Species
Callicebinae,Groves (1993),Subfamily
Callicebinae,Groves (2005),Subfamily
Callicebus,Groves (1993),Genus
Callicebus,Groves (2005),Genus
Callicebus baptista,Groves (2005),Species
Callicebus barbarabrownae,Groves (2005),Species
Callicebus bernhardi,Groves (2005),Species
Callicebus brunneus,Groves (1993),Species
Callicebus brunneus,Groves (2005),Species
Callicebus caligatus,Groves (1993),Species
Callicebus caligatus,Groves (2005),Species
Callicebus cinerascens,Groves (1993),Species
Callicebus cinerascens,Groves (2005),Species
Callicebus coimbrai,Groves (2005),Species
Callicebus cupreus,Groves (1993),Species
Callicebus cupreus,Groves (2005),Species
Callicebus discolor,Groves (2005),Species
Callicebus donacophilus,Groves (1993),Species
Callicebus donacophilus,Groves (2005),Species
Callicebus dubius,Groves (1993),Species
Callicebus dubius,Groves (2005),Species
Callicebus hoffmannsi,Groves (1993),Species
Callicebus hoffmannsi,Groves (2005),Species
Callicebus lucifer,Groves (2005),Species
Callicebus lugens,Groves (2005),Species
Callicebus medemi,Groves (2005),Species
Callicebus melanochir,Groves (2005),Species
Callicebus modestus,Groves (1993),Species
Callicebus modestus,Groves (2005),Species
Callicebus moloch,Groves (1993),Species
Callicebus moloch,Groves (2005),Species
Callicebus nigrifrons,Groves (2005),Species
Callicebus oenanthe,Groves (1993),Species
Callicebus oenanthe,Groves (2005),Species
Callicebus olallae,Groves (1993),Species
Callicebus olallae,Groves (2005),Species
Callicebus ornatus,Groves (2005),Species
Callicebus pallescens,Groves (2005),Species
Callicebus personatus,Groves (1993),Species
Callicebus personatus,Groves (2005),Species
Callicebus purinus,Groves (2005),Species
Callicebus regulus,Groves (2005),Species
Callicebus stephennashi,Groves (2005),Species
Callicebus torquatus,Groves (1993),Species
Callicebus torquatus,Groves (2005),Species
Callimico,Groves (1993),Genus
Callimico,Groves (2005),Genus
Callimico goeldii,Groves (1993),Species
Callimico goeldii,Groves (2005),Species
Callithrix,Groves (1993),Genus
Callithrix,Groves (2005),Genus
Callithrix acariensis,Groves (2005),Species
Callithrix argentata,Groves (1993),Species
Callithrix argentata,Groves (2005),Species
Callithrix aurita,Groves (1993),Species
Callithrix aurita,Groves (2005),Species
Callithrix chrysoleuca,Groves (2005),Species
Callithrix emiliae,Groves (2005),Species
Callithrix flaviceps,Groves (1993),Species
Callithrix flaviceps,Groves (2005),Species
Callithrix geoffroyi,Groves (1993),Species
Callithrix geoffroyi,Groves (2005),Species
Callithrix humeralifera,Groves (1993),Species
Callithrix humeralifera,Groves (2005),Species
Callithrix humilis,Groves (2005),Species
Callithrix intermedia,Groves (2005),Species
Callithrix jacchus,Groves (1993),Species
Callithrix jacchus,Groves (2005),Species
Callithrix kuhlii,Groves (1993),Species
Callithrix kuhlii,Groves (2005),Species
Callithrix leucippe,Groves (2005),Species
Callithrix manicorensis,Groves (2005),Species
Callithrix marcai,Groves (2005),Species
Callithrix mauesi,Groves (2005),Species
Callithrix melanura,Groves (2005),Species
Callithrix nigriceps,Groves (2005),Species
Callithrix penicillata,Groves (1993),Species
Callithrix penicillata,Groves (2005),Species
Callithrix pygmaea,Groves (1993),Species
Callithrix pygmaea,Groves (2005),Species
Callithrix saterei,Groves (2005),Species
Callitrichidae,Groves (1993),Family
Callitrichinae,Groves (2005),Subfamily
Catarrhini,Groves (2005),Parvorder
Cebidae,Groves (1993),Family
Cebidae,Groves (2005),Family
Cebinae,Groves (1993),Subfamily
Cebinae,Groves (2005),Subfamily
Cebus,Groves (1993),Genus
Cebus,Groves (2005),Genus
Cebus albifrons,Groves (1993),Species
