1.B,2.B,equals
1.F,2.E,disjoint
1.F,2.B,disjoint
1.B,2.E,includes
1.E,1.D,disjoint
1.A,2.GH,includes
1.A,2.E,includes
1.D,2.CD,is_included_in
1.E,1.C,disjoint
1.F,2.F,
2.A,2.GH,includes
2.F,1.G,includes
1.H,2.CD,disjoint
1.B,2.A,is_included_in
1.B,2.F,disjoint
1.E,2.CD,disjoint
1.F,2.A,is_included_in
2.GH,1.H,includes
2.B,1.E,includes
2.B,1.C,includes
2.GH,1.B,disjoint
2.GH,1.G,includes
1.B,1.E,includes
1.B,1.D,includes
1.B,1.F,disjoint
1.B,1.C,includes
1.G,2.GH,is_included_in
1.C,2.CD,is_included_in
2.GH,2.E,disjoint
1.G,2.B,disjoint
1.G,2.A,is_included_in
2.GH,2.F,
2.GH,2.A,is_included_in
1.G,2.F,is_included_in
1.G,2.E,disjoint
2.GH,2.B,disjoint
2.E,1.D,disjoint
2.F,1.H,includes
1.E,2.GH,disjoint
2.E,1.C,disjoint
2.F,2.B,disjoint
1.F,2.CD,disjoint
1.B,2.GH,disjoint
2.B,2.CD,includes
1.E,2.A,is_included_in
1.E,2.B,is_included_in
1.E,2.E,equals
1.D,1.F,disjoint
1.D,1.E,disjoint
1.E,2.F,disjoint
1.A,1.H,includes
1.A,1.B,includes
1.A,1.C,includes
1.A,1.F,includes
1.A,1.G,includes
1.A,1.D,includes
1.A,1.E,includes
1.H,2.A,is_included_in
1.H,2.B,disjoint
1.H,2.E,disjoint
1.H,2.F,is_included_in
1.A,2.CD,includes
2.B,2.E,includes
2.B,2.F,disjoint
2.A,2.CD,includes
2.E,2.CD,disjoint
1.D,2.GH,disjoint
1.H,2.GH,is_included_in
1.E,1.F,disjoint
1.C,2.F,disjoint
1.C,2.E,disjoint
1.C,2.B,is_included_in
1.C,2.A,is_included_in
1.G,1.F,is_included_in
1.B,2.CD,includes
1.G,1.H,disjoint
1.D,1.C,disjoint
1.D,2.E,disjoint
1.D,2.F,disjoint
1.D,2.A,is_included_in
1.D,2.B,is_included_in
2.CD,1.E,disjoint
1.F,1.H,includes
2.A,1.C,includes
2.A,1.B,includes
2.A,1.E,includes
2.A,1.D,includes
2.A,1.G,includes
2.A,1.F,includes
2.A,1.H,includes
1.F,1.B,disjoint
1.C,2.GH,disjoint
1.F,1.G,includes
2.A,2.F,includes
2.A,2.E,includes
2.A,2.B,includes
1.G,2.CD,disjoint
2.CD,2.E,disjoint
1.A,2.F,includes
1.A,2.A,equals
1.A,2.B,includes
1.H,1.G,disjoint
1.H,1.F,is_included_in
1.C,1.D,disjoint
1.C,1.E,disjoint
1.C,1.F,disjoint
1.F,2.GH,equals
2.GH,2.CD,disjoint
